external_id,name,group_name,subgroup_name,category_name,serving_qty,serving_unit,calories_kcal,protein_g,carbs_g,fat_g,source_url
350,"Huevo de codorniz, entero, crudo",Proteinas de origen animal,,Proteinas de origen animal,100,g,174,13.6,0.1,13.3,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/350.htm
351,"Batata, dulce",Azucares y dulces,,Azucares y dulces,100,g,263,0.9,65,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/351.htm
352,"Ciruela, mermelada",Azucares y dulces,,Azucares y dulces,100,g,306,3.7,73.1,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/352.htm
353,Chocolatín,Azucares y dulces,,Azucares y dulces,100,g,549,5.4,62.4,31.5,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/353.htm
354,"Durazno, mermelada",Azucares y dulces,,Azucares y dulces,100,g,304,3.5,76.4,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/354.htm
355,"Frutilla, mermelada",Azucares y dulces,,Azucares y dulces,100,g,309,3.8,73.2,0.6,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/355.htm
356,"Leche, dulce de leche",Azucares y dulces,,Azucares y dulces,100,g,341,8.1,56.8,9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/356.htm
359,Mortadela,Miscelaneos,,Miscelaneos,100,g,245,17.5,1,19,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/359.htm
36,"Trigo, pan francés",Cereales y tuberculos,,Cereales y tuberculos,100,g,269,9.3,57.4,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/36.htm
38,"Trigo, pan alemán",Cereales y tuberculos,,Cereales y tuberculos,100,g,264,8.9,56.7,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/38.htm
39,"Trigo, pan criollo",Cereales y tuberculos,,Cereales y tuberculos,100,g,280,8.7,60.7,0.3,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/39.htm
395,"Amarillo, fresco, crudo, músculo dorsal - Pimedolus clarias maculatus",Proteinas de origen animal,,Proteinas de origen animal,100,g,141,17.3,0,8,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/395.htm
395-xls,"Amarillo, fresco, crudo, músculo dorsal",Proteinas de origen animal,,Proteinas de origen animal,100,g,141,17.3,0,8,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Pescados.xls
396,"Amarillo, fresco, hervido, músculo dorsal - Pimedolus clarias maculatus",Proteinas de origen animal,,Proteinas de origen animal,100,g,180,18.7,0,11.7,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/396.htm
396-xls,"Amarillo, fresco, hervido, músculo dorsal",Proteinas de origen animal,,Proteinas de origen animal,100,g,180,18.7,0,11.7,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Pescados.xls
397,"Amarillo, fresco, al horno, músculo dorsal - Pimedolus clarias maculatus",Proteinas de origen animal,,Proteinas de origen animal,100,g,233,19.9,0.1,17,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/397.htm
397-xls,"Amarillo, fresco, al horno, músculo dorsal",Proteinas de origen animal,,Proteinas de origen animal,100,g,233,19.9,0.1,17,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Pescados.xls
398,"Amarillo, fresco, a la parrilla, músculo dorsal - Pimedolus clarias maculatus",Proteinas de origen animal,,Proteinas de origen animal,100,g,183,21.3,0,10.9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/398.htm
398-xls,"Amarillo, fresco, a la parrilla, músculo dorsal",Proteinas de origen animal,,Proteinas de origen animal,100,g,183,21.3,0,10.9,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Pescados.xls
399,"Amarillo, fresco, frito, músculo dorsal - Pimedolus clarias maculatus",Proteinas de origen animal,,Proteinas de origen animal,100,g,232,22.8,0.1,15.6,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/399.htm
399-xls,"Amarillo, fresco, frito, músculo dorsal",Proteinas de origen animal,,Proteinas de origen animal,100,g,232,22.8,0.1,15.6,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Pescados.xls
4,"Avena, grano, arrollada, cruda",Cereales y tuberculos,,Cereales y tuberculos,100,g,343,12.8,56.9,7.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/4.htm
40,"Trigo, pan de Viena",Cereales y tuberculos,,Cereales y tuberculos,100,g,307,9.8,62.6,1.9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/40.htm
400,"Armado, fresco, crudo, músculo dorsal - Pterodotas granulosus",Proteinas de origen animal,,Proteinas de origen animal,100,g,75,15.4,0,1.5,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/400.htm
400-xls,"Armado, fresco, crudo, músculo dorsal",Proteinas de origen animal,,Proteinas de origen animal,100,g,75,15.4,0,1.5,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Pescados.xls
401,"Armado, fresco, crudo, músculo ventral - Pterodotas granulosus",Proteinas de origen animal,,Proteinas de origen animal,100,g,103,14.6,0.12,4.9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/401.htm
401-xls,"Armado, fresco, crudo, músculo ventral",Proteinas de origen animal,,Proteinas de origen animal,100,g,103,14.6,0.12,4.9,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Pescados.xls
